"customerkey","geographykey","fullname","gender","birthdate","yearlyincome","datefirstpurchase","city","state","region","postalcode"
11000,26,"JonYang","M","1971-10-06","90000.00","2020-01-19","Rockhampton","Queensland","Australia","4700"
11001,37,"EugeneHuang","M","1976-05-10","60000.00","2020-01-15","Seaford","Victoria","Australia","3198"
11002,31,"RubenTorres","M","1971-02-09","60000.00","2020-01-07","Hobart","Tasmania","Australia","7001"
11003,11,"ChristyZhu","F","1973-08-14","70000.00","2019-12-29","North Ryde","New South Wales","Australia","2113"
11004,19,"ElizabethJohnson","F","1979-08-05","80000.00","2020-01-23","Wollongong","New South Wales","Australia","2500"
11005,22,"JulioRuiz","M","1976-08-01","70000.00","2019-12-30","East Brisbane","Queensland","Australia","4169"
11006,8,"JanetAlvarez","F","1976-12-02","70000.00","2020-01-24","Matraville","New South Wales","Australia","2036"
11007,40,"MarcoMehta","M","1969-11-06","60000.00","2020-01-09","Warrnambool","Victoria","Australia","3280"
11008,32,"RobVerhoff","F","1975-07-04","60000.00","2020-01-25","Bendigo","Victoria","Australia","3550"
11009,25,"ShannonCarlson","M","1969-09-29","70000.00","2020-01-27","Hervey Bay","Queensland","Australia","4655"
11010,22,"JacquelynSuarez","F","1969-08-05","70000.00","2020-01-14","East Brisbane","Queensland","Australia","4169"
11011,22,"CurtisLu","M","1969-05-03","60000.00","2019-12-30","East Brisbane","Queensland","Australia","4169"
11012,611,"LaurenWalker","F","1979-01-14","100000.00","2022-03-16","Bremerton","Washington","United States","98312"
11013,543,"IanJenkins","M","1979-08-03","100000.00","2022-04-13","Lebanon","Oregon","United States","97355"
11014,634,"SydneyBennett","F","1973-11-06","100000.00","2022-03-23","Redmond","Washington","United States","98052"
11015,301,"ChloeYoung","F","1984-08-26","30000.00","2022-01-18","Burbank","California","United States","91502"
11016,329,"WyattHill","M","1984-10-25","30000.00","2022-02-09","Imperial Beach","California","United States","91932"
11017,39,"ShannonWang","F","1949-12-24","20000.00","2020-01-12","Sunbury","Victoria","Australia","3429"
11018,32,"ClarenceRai","M","1955-10-06","30000.00","2020-01-17","Bendigo","Victoria","Australia","3550"
11019,52,"LukeLal","M","1983-09-04","40000.00","2022-02-12","Langley","British Columbia","Canada","V3A 4R2"
11020,53,"JordanKing","M","1984-03-19","40000.00","2021-12-29","Metchosin","British Columbia","Canada","V9"
11021,536,"DestinyWilson","F","1984-03-02","40000.00","2022-01-23","Beaverton","Oregon","United States","97005"
11022,609,"EthanZhang","M","1984-04-10","40000.00","2022-01-20","Bellingham","Washington","United States","98225"
11023,298,"SethEdwards","M","1984-04-09","40000.00","2022-02-17","Bellflower","California","United States","90706"
11024,311,"RussellXie","M","1984-03-16","60000.00","2022-06-27","Concord","California","United States","94519"
11025,24,"AlejandroBeck","M","1951-06-22","10000.00","2020-01-06","Hawthorne","Queensland","Australia","4171"
11026,4,"HaroldSai","M","1951-10-01","30000.00","2020-01-23","Goulburn","New South Wales","Australia","2580"
11027,40,"JessieZhao","M","1952-06-05","30000.00","2020-01-16","Warrnambool","Victoria","Australia","3280"
11028,17,"JillJimenez","F","1951-10-09","30000.00","2020-01-26","St. Leonards","New South Wales","Australia","2065"
11029,32,"JimmyMoreno","M","1952-06-19","30000.00","2020-01-19","Bendigo","Victoria","Australia","3550"
11030,28,"BethanyYuan","F","1958-02-18","10000.00","2020-02-05","Cloverdale","South Australia","Australia","6105"
11031,8,"TheresaRamos","F","1953-02-18","20000.00","2020-02-01","Matraville","New South Wales","Australia","2036"
11032,35,"DeniseStone","F","1952-12-08","20000.00","2020-02-18","Melbourne","Victoria","Australia","3000"
11033,9,"JaimeNath","M","1958-09-19","20000.00","2020-02-15","Milsons Point","New South Wales","Australia","2061"
11034,12,"EbonyGonzalez","F","1952-12-16","20000.00","2020-02-01","North Sydney","New South Wales","Australia","2055"
11035,33,"WendyDominguez","F","1953-08-23","10000.00","2020-02-06","Cranbourne","Victoria","Australia","3977"
